sex,age,race,education,workclass,occupation,salary-class
Female,41,Black,HS-grad,Private,Sales,<=50K
Male,25,White,Some-college,Private,Adm-clerical,<=50K
Female,33,Other,Some-college,Private,Craft-repair,<=50K
Male,28,White,Prof-school,Private,Prof-specialty,>50K
Male,59,White,HS-grad,State-gov,Other-service,<=50K
Female,40,White,Some-college,State-gov,Adm-clerical,<=50K
Male,41,White,Bachelors,Private,Exec-managerial,>50K
Male,38,White,Masters,Local-gov,Exec-managerial,>50K
Male,23,White,HS-grad,Private,Transport-moving,<=50K
Male,40,White,Bachelors,Private,Prof-specialty,>50K
Female,41,White,HS-grad,Self-emp-not-inc,Other-service,<=50K
Male,24,White,Assoc-acdm,State-gov,Protective-serv,<=50K
Male,38,White,Some-college,Private,Craft-repair,<=50K
Male,58,White,HS-grad,Private,Adm-clerical,>50K
Female,32,White,HS-grad,Private,Other-service,<=50K
Male,40,White,Assoc-acdm,Private,Tech-support,>50K
Female,41,White,Prof-school,Private,Prof-specialty,>50K
Female,42,Black,Bachelors,Private,Adm-clerical,<=50K
Female,59,Black,10th,Local-gov,Other-service,<=50K
Male,19,White,Some-college,Local-gov,Adm-clerical,<=50K
Male,58,White,Some-college,Private,Transport-moving,<=50K
Male,42,Asian-Pac-Islander,HS-grad,Self-emp-not-inc,Farming-fishing,>50K
Female,20,White,HS-grad,Private,Other-service,<=50K
Female,32,White,HS-grad,Private,Other-service,<=50K
Female,45,White,Assoc-voc,Private,Exec-managerial,<=50K
Male,50,White,7th-8th,Private,Craft-repair,<=50K
Female,36,White,Bachelors,Private,Prof-specialty,<=50K
Male,45,White,HS-grad,Private,Sales,<=50K
Male,17,White,11th,Private,Other-service,<=50K
Male,59,White,Some-college,Private,Sales,<=50K
Male,26,White,11th,Private,Craft-repair,<=50K
Male,37,Asian-Pac-Islander,Some-college,Self-emp-inc,Exec-managerial,>50K
Male,64,White,HS-grad,Private,Exec-managerial,>50K
Female,33,White,Bachelors,Private,Prof-specialty,<=50K
Female,33,White,HS-grad,Private,Craft-repair,>50K
Male,61,White,HS-grad,Private,Exec-managerial,>50K
Male,17,White,9th,Private,Other-service,<=50K
Male,50,White,Masters,Self-emp-not-inc,Farming-fishing,<=50K
Male,27,White,Masters,Local-gov,Prof-specialty,<=50K
Female,30,White,HS-grad,Private,Prof-specialty,<=50K
Male,43,Black,HS-grad,Private,Handlers-cleaners,<=50K
Male,44,White,Some-college,Private,Craft-repair,>50K
Female,35,White,Some-college,Private,Exec-managerial,<=50K
Female,25,White,Some-college,Private,Tech-support,<=50K
Female,24,White,Some-college,Private,Machine-op-inspct,>50K
Female,22,White,Bachelors,Private,Prof-specialty,<=50K
Male,42,White,Some-college,Local-gov,Craft-repair,>50K
Female,34,Black,Assoc-acdm,Private,Sales,<=50K
Female,60,White,Bachelors,Private,Prof-specialty,<=50K
Male,21,White,HS-grad,Private,Handlers-cleaners,<=50K
Male,57,White,Masters,Federal-gov,Sales,>50K
Male,41,White,Prof-school,Private,Prof-specialty,>50K
Male,50,White,Some-college,Private,Other-service,<=50K
Female,25,White,Bachelors,Private,Exec-managerial,<=50K
Male,50,White,7th-8th,Private,Craft-repair,<=50K
Male,36,White,Bachelors,Private,Prof-specialty,<=50K
Female,31,White,HS-grad,Private,Prof-specialty,<=50K
Male,29,White,Bachelors,Local-gov,Protective-serv,<=50K
Male,21,White,Some-college,Private,Sales,<=50K
Female,27,Black,Bachelors,Private,Tech-support,<=50K
Male,65,White,HS-grad,Private,Transport-moving,<=50K
Female,37,White,Bachelors,Self-emp-inc,Sales,<=50K
Male,24,White,HS-grad,Private,Craft-repair,<=50K
Male,38,White,HS-grad,Private,Sales,<=50K
Male,48,White,Bachelors,Private,Adm-clerical,>50K
Female,21,Asian-Pac-Islander,Some-college,Private,Other-service,<=50K
Male,31,White,HS-grad,Private,Transport-moving,>50K
Male,55,White,HS-grad,Private,Sales,>50K
Female,24,Asian-Pac-Islander,Some-college,Private,Adm-clerical,<=50K
Female,43,White,HS-grad,Private,Adm-clerical,<=50K
Male,26,White,Assoc-acdm,Private,Tech-support,<=50K
Female,46,White,Assoc-acdm,Private,Prof-specialty,<=50K
Male,35,White,Assoc-acdm,Private,Adm-clerical,>50K
Male,41,White,Some-college,Self-emp-inc,Farming-fishing,>50K
Male,26,White,Bachelors,Private,Sales,<=50K
Male,34,Asian-Pac-Islander,Masters,Private,Exec-managerial,>50K
Female,36,Black,Bachelors,Self-emp-not-inc,Prof-specialty,>50K
Male,22,White,Some-college,Private,Sales,<=50K
Male,24,White,Some-college,Private,Machine-op-inspct,<=50K
Male,77,White,Some-college,Self-emp-not-inc,Sales,<=50K
Female,22,White,5th-6th,Private,Machine-op-inspct,<=50K
Female,29,White,Some-college,Private,Tech-support,<=50K
Female,62,White,HS-grad,Private,Other-service,<=50K
Male,39,White,HS-grad,Self-emp-not-inc,Exec-managerial,<=50K
Male,43,White,Some-college,Private,Craft-repair,<=50K
Male,35,White,HS-grad,Private,Transport-moving,<=50K
Female,29,White,11th,Private,Exec-managerial,<=50K
Male,76,White,Masters,Self-emp-not-inc,Craft-repair,<=50K
Male,63,White,HS-grad,Self-emp-not-inc,Farming-fishing,<=50K
Female,43,White,Some-college,Private,Prof-specialty,>50K
Male,58,White,HS-grad,Self-emp-not-inc,Handlers-cleaners,<=50K
Male,66,White,HS-grad,Private,Transport-moving,<=50K
Male,41,Black,Some-college,Private,Craft-repair,<=50K
Male,26,White,Bachelors,Private,Adm-clerical,<=50K
Male,47,White,Assoc-voc,Private,Other-service,<=50K
Male,55,White,10th,Local-gov,Adm-clerical,<=50K
Male,53,White,HS-grad,Private,Transport-moving,<=50K
Male,17,White,5th-6th,Private,Other-service,<=50K
Male,30,White,HS-grad,Private,Craft-repair,<=50K
Male,49,White,Masters,Private,Prof-specialty,<=50K
Male,19,Black,HS-grad,Private,Sales,<=50K
Male,45,Black,HS-grad,Private,Other-service,<=50K
Male,26,White,Assoc-acdm,Private,Sales,<=50K
Male,38,White,Assoc-voc,Private,Craft-repair,>50K
Male,36,White,HS-grad,State-gov,Protective-serv,>50K
Male,33,White,HS-grad,Private,Farming-fishing,<=50K
Female,22,Black,Some-college,State-gov,Protective-serv,<=50K
Male,43,White,Bachelors,Self-emp-not-inc,Sales,<=50K
Male,56,White,Assoc-acdm,Private,Other-service,<=50K
Male,31,White,Bachelors,Private,Prof-specialty,<=50K
Male,33,White,Bachelors,Private,Exec-managerial,>50K
Male,26,White,HS-grad,Private,Other-service,<=50K
Male,33,White,Bachelors,Private,Exec-managerial,>50K
Male,46,White,11th,Local-gov,Transport-moving,<=50K
Male,38,White,HS-grad,Federal-gov,Adm-clerical,>50K
Male,65,Other,11th,Private,Other-service,<=50K
Male,40,White,Assoc-voc,Private,Tech-support,>50K
Female,42,White,HS-grad,Private,Adm-clerical,<=50K
Male,26,White,9th,Self-emp-not-inc,Craft-repair,<=50K
Female,36,White,10th,Private,Other-service,<=50K
Male,62,White,Masters,Private,Prof-specialty,>50K
Male,43,White,Bachelors,Private,Transport-moving,<=50K
Male,43,White,Bachelors,Private,Exec-managerial,>50K
Male,22,White,HS-grad,Private,Sales,<=50K
Male,28,White,HS-grad,Private,Craft-repair,<=50K
Male,56,White,Some-college,Self-emp-not-inc,Sales,<=50K
Female,22,White,Assoc-acdm,Private,Sales,<=50K
Female,57,White,Bachelors,Private,Exec-managerial,>50K
Female,39,White,HS-grad,Private,Sales,<=50K
Female,26,White,Some-college,Federal-gov,Adm-clerical,<=50K
Male,17,White,11th,Private,Other-service,<=50K
Male,40,White,Assoc-voc,State-gov,Machine-op-inspct,>50K
Male,45,Black,HS-grad,Private,Machine-op-inspct,<=50K
Male,44,Black,HS-grad,Private,Craft-repair,<=50K
Female,20,White,Some-college,Local-gov,Adm-clerical,<=50K
Female,33,White,HS-grad,Private,Craft-repair,<=50K
Male,23,White,Some-college,Private,Sales,<=50K
Male,46,White,Masters,Self-emp-not-inc,Exec-managerial,<=50K
Male,38,White,HS-grad,Private,Sales,<=50K
Male,54,White,HS-grad,Private,Transport-moving,<=50K
Female,46,White,5th-6th,Private,Craft-repair,<=50K
Male,25,White,Some-college,Private,Craft-repair,<=50K
Female,46,White,Some-college,Private,Sales,<=50K
Female,36,White,Some-college,Local-gov,Transport-moving,<=50K
Female,23,White,HS-grad,Private,Other-service,<=50K
Male,29,White,HS-grad,Private,Machine-op-inspct,<=50K
Female,44,White,Some-college,Private,Adm-clerical,>50K
Female,19,White,Some-college,Private,Adm-clerical,<=50K
Female,19,White,HS-grad,Private,Other-service,<=50K
Female,35,White,HS-grad,Private,Other-service,>50K
Male,27,White,Bachelors,Private,Craft-repair,<=50K
Male,46,White,Assoc-acdm,Self-emp-not-inc,Craft-repair,<=50K
Female,34,White,HS-grad,Private,Other-service,<=50K
Male,44,White,Some-college,Private,Tech-support,<=50K
Female,45,White,Some-college,Private,Handlers-cleaners,<=50K
Male,25,White,Bachelors,Private,Exec-managerial,>50K
Male,52,White,Bachelors,Self-emp-inc,Exec-managerial,>50K
Male,20,White,Some-college,Private,Handlers-cleaners,<=50K
Female,28,White,Some-college,Private,Other-service,<=50K
Male,50,White,Bachelors,State-gov,Protective-serv,>50K
Female,34,White,Assoc-voc,Private,Tech-support,<=50K
Male,28,Other,7th-8th,Private,Handlers-cleaners,<=50K
Male,41,White,Masters,Private,Exec-managerial,>50K
Male,28,White,HS-grad,Private,Adm-clerical,<=50K
Male,46,White,HS-grad,Self-emp-not-inc,Craft-repair,<=50K
Male,32,White,Some-college,Private,Exec-managerial,<=50K
Female,41,Black,Some-college,Local-gov,Other-service,<=50K
Female,24,Black,HS-grad,Private,Handlers-cleaners,<=50K
Female,33,White,Some-college,Private,Exec-managerial,<=50K
Male,46,White,Doctorate,Private,Exec-managerial,>50K
Male,31,White,Some-college,State-gov,Machine-op-inspct,<=50K
Male,35,White,12th,Private,Craft-repair,>50K
Male,52,White,1st-4th,Private,Machine-op-inspct,<=50K
Female,30,White,11th,Private,Other-service,<=50K
Male,34,Black,11th,Local-gov,Machine-op-inspct,<=50K
Female,34,White,HS-grad,State-gov,Transport-moving,<=50K
Male,20,White,Some-college,Private,Sales,<=50K
Male,17,White,11th,Private,Handlers-cleaners,<=50K
Female,32,White,Bachelors,State-gov,Exec-managerial,>50K
Male,29,White,HS-grad,Private,Farming-fishing,<=50K
Female,33,White,10th,Private,Craft-repair,<=50K
Male,25,White,HS-grad,Private,Transport-moving,<=50K
Male,36,White,Masters,Federal-gov,Prof-specialty,<=50K
Male,23,White,HS-grad,Private,Handlers-cleaners,<=50K
Male,63,White,HS-grad,Self-emp-inc,Exec-managerial,>50K
Male,47,White,Masters,Local-gov,Prof-specialty,<=50K
Female,40,White,Bachelors,Self-emp-not-inc,Prof-specialty,<=50K
Female,30,White,Assoc-acdm,Private,Other-service,>50K
Male,27,Asian-Pac-Islander,Some-college,Private,Craft-repair,<=50K
Male,33,White,Masters,Private,Prof-specialty,>50K
Male,34,Black,HS-grad,Local-gov,Farming-fishing,<=50K
Female,34,White,Some-college,Local-gov,Protective-serv,<=50K
Male,23,White,Some-college,Private,Adm-clerical,<=50K
Female,42,White,Some-college,Local-gov,Adm-clerical,<=50K
Male,29,White,Bachelors,Private,Prof-specialty,<=50K
Female,45,White,HS-grad,Private,Adm-clerical,<=50K
Male,24,White,HS-grad,Federal-gov,Armed-Forces,<=50K
Male,44,White,Some-college,Private,Prof-specialty,>50K
Male,27,White,9th,Private,Craft-repair,<=50K
Male,20,White,Some-college,Private,Sales,<=50K
Female,44,Black,HS-grad,Private,Exec-managerial,<=50K
Male,51,Amer-Indian-Eskimo,HS-grad,Private,Craft-repair,<=50K
Male,20,White,HS-grad,Private,Machine-op-inspct,<=50K
Female,19,Black,HS-grad,Private,Machine-op-inspct,<=50K
Male,45,White,Some-college,Self-emp-inc,Craft-repair,>50K
Male,60,White,HS-grad,Private,Craft-repair,>50K
Female,44,White,HS-grad,Self-emp-not-inc,Sales,>50K
Male,40,Asian-Pac-Islander,Assoc-voc,Private,Machine-op-inspct,>50K
Female,30,White,HS-grad,Private,Exec-managerial,<=50K
Male,38,Black,Some-college,Private,Transport-moving,<=50K
Male,23,White,HS-grad,Private,Transport-moving,<=50K
Male,44,White,Assoc-acdm,Private,Farming-fishing,<=50K
Male,54,Black,HS-grad,Local-gov,Transport-moving,<=50K
Male,32,White,Bachelors,Private,Prof-specialty,<=50K
Male,50,White,1st-4th,Private,Craft-repair,<=50K
Female,24,White,Bachelors,Private,Tech-support,<=50K
Female,37,White,HS-grad,Private,Adm-clerical,<=50K
Male,52,White,HS-grad,Private,Transport-moving,<=50K
Male,38,White,Some-college,Private,Transport-moving,<=50K
Male,49,White,Masters,Private,Exec-managerial,>50K
Female,30,White,Bachelors,Private,Tech-support,>50K
Male,60,White,Some-college,Private,Prof-specialty,>50K
Male,35,White,HS-grad,Private,Craft-repair,<=50K
Male,30,White,HS-grad,Private,Transport-moving,<=50K
Female,67,White,Assoc-voc,Private,Other-service,<=50K
Female,46,White,Bachelors,Private,Craft-repair,<=50K
Male,17,White,9th,Private,Other-service,<=50K
Male,22,White,Some-college,Private,Handlers-cleaners,<=50K
Male,27,White,10th,Private,Other-service,<=50K
Female,23,White,HS-grad,Private,Other-service,<=50K
Male,33,White,Assoc-acdm,Private,Craft-repair,<=50K
Male,43,White,Some-college,Self-emp-not-inc,Craft-repair,<=50K
Male,28,White,Bachelors,State-gov,Prof-specialty,<=50K
Female,41,White,HS-grad,Private,Craft-repair,<=50K
Female,25,Black,Some-college,Private,Adm-clerical,<=50K
Male,59,White,HS-grad,Local-gov,Transport-moving,<=50K
Female,45,White,Bachelors,Local-gov,Prof-specialty,<=50K
Male,38,White,Bachelors,Private,Sales,>50K
Female,40,White,HS-grad,Private,Other-service,<=50K
Male,46,White,HS-grad,Federal-gov,Adm-clerical,<=50K
Female,35,White,Assoc-acdm,Private,Exec-managerial,<=50K
Female,34,White,HS-grad,Private,Prof-specialty,<=50K
Male,33,White,Bachelors,Private,Craft-repair,<=50K
Female,41,White,HS-grad,Private,Adm-clerical,<=50K
Male,20,White,Some-college,Private,Machine-op-inspct,<=50K
Male,23,White,5th-6th,Private,Other-service,<=50K
Female,26,White,Some-college,Private,Prof-specialty,<=50K
Male,23,White,HS-grad,Local-gov,Farming-fishing,<=50K
Male,62,White,HS-grad,Local-gov,Transport-moving,<=50K
Male,52,White,Some-college,Private,Adm-clerical,<=50K
Female,58,White,Some-college,Private,Other-service,<=50K
Female,25,White,Bachelors,Private,Sales,<=50K
Male,24,Black,Bachelors,Private,Exec-managerial,<=50K
Male,19,White,Some-college,Private,Protective-serv,<=50K
Male,43,White,Some-college,Private,Exec-managerial,<=50K
Female,47,Black,HS-grad,Local-gov,Adm-clerical,<=50K
Female,39,White,HS-grad,Private,Other-service,<=50K
Male,49,White,Assoc-voc,Private,Handlers-cleaners,<=50K
Male,32,White,Assoc-voc,Private,Craft-repair,<=50K
Male,34,White,Some-college,Private,Prof-specialty,>50K
Male,28,White,HS-grad,Private,Craft-repair,<=50K
Female,25,Amer-Indian-Eskimo,Some-college,Private,Adm-clerical,<=50K
Male,34,White,Bachelors,Private,Prof-specialty,>50K
